rank,run_id,kind,k_combo,best_val_acc,best_val_f1,test_acc,test_f1,best_epoch,params,total_children,train_time_sec,val_fisher_l0,val_fisher_l1,val_fisher_l2,val_fisher_l3,head_val_acc_l0,head_val_acc_l1,head_val_acc_l2,head_val_acc_l3
1,airline__fixed_k_2-5-8__seed0,fixed,2-5-8,0.955345,0.954391,0.952533,0.951611,99,1396,30,241.014,1237.085449,1278.293823,1333.321167,1426.766479,0.813422,0.78115,0.887656,0.955345
2,airline__fixed_k_2-4-8__seed0,fixed,2-4-8,0.955024,0.954078,0.952841,0.951941,99,1322,28,240.169,1237.085449,1277.408936,1345.35791,1434.734985,0.800847,0.769793,0.880213,0.955024
3,airline__fixed_k_2-5-6__seed0,fixed,2-5-6,0.95496,0.954015,0.952033,0.951117,99,1248,26,242.82,1237.085449,1284.181152,1336.998413,1416.750122,0.799307,0.762736,0.883934,0.95496
4,airline__fixed_k_2-5-7__seed0,fixed,2-5-7,0.95451,0.953536,0.952071,0.951156,93,1322,28,242.072,1237.085449,1281.203857,1339.667358,1430.814697,0.786347,0.759656,0.885859,0.95451
5,airline__fixed_k_2-6-6__seed0,fixed,2-6-6,0.954254,0.953302,0.953611,0.952712,99,1322,28,270.048,1237.085449,1339.343994,1398.113892,1422.522949,0.787309,0.877454,0.902027,0.954254
6,airline__fixed_k_2-6-5__seed0,fixed,2-6-5,0.953612,0.952629,0.951802,0.950874,99,1248,26,241.484,1237.085449,1297.940308,1350.418701,1430.568604,0.819004,0.820672,0.889195,0.953612
7,airline__fixed_k_2-6-4__seed0,fixed,2-6-4,0.953035,0.952042,0.950223,0.949257,96,1174,24,240.47,1237.085449,1255.663452,1309.880737,1450.841797,0.7338,0.710509,0.761324,0.953035
8,airline__fixed_k_2-4-6__seed0,fixed,2-4-6,0.952842,0.951874,0.953072,0.952209,99,1174,24,426.902,1237.085571,1310.099365,1343.76062,1404.201172,0.642435,0.855126,0.888233,0.952842
9,airline__fixed_k_2-6-3__seed0,fixed,2-6-3,0.952522,0.951474,0.94953,0.948501,96,1100,22,241.735,1237.085449,1291.143799,1328.703979,1400.2052,0.637174,0.87245,0.898691,0.952522
10,airline__fixed_k_2-2-6__seed0,fixed,2-2-6,0.952201,0.951203,0.952264,0.951358,100,1026,20,447.343,1237.085571,1246.101807,1341.284058,1384.454468,0.740793,0.661427,0.87508,0.952201
11,airline__fixed_k_2-5-4__seed0,fixed,2-5-4,0.952008,0.951022,0.949415,0.948481,99,1100,22,243.256,1237.085449,1278.962036,1333.361694,1394.467651,0.778198,0.807263,0.898499,0.952008
12,airline__fixed_k_2-2-8__seed0,fixed,2-2-8,0.951559,0.950531,0.949761,0.948797,99,1174,24,434.687,1237.085571,1275.753296,1392.621826,1465.508667,0.60888,0.70743,0.897344,0.951559
13,airline__fixed_k_2-3-6__seed0,fixed,2-3-6,0.951495,0.950511,0.949723,0.948791,99,1100,22,427.572,1237.085571,1314.00415,1340.254517,1376.286987,0.650584,0.877967,0.889131,0.951495
14,airline__fixed_k_2-4-7__seed0,fixed,2-4-7,0.951431,0.950455,0.950685,0.949781,99,1248,26,434.639,1237.085571,1297.25415,1342.030518,1401.422363,0.711728,0.87014,0.888682,0.951431
15,airline__fixed_k_2-2-7__seed0,fixed,2-2-7,0.951367,0.950297,0.948529,0.947508,77,1100,22,388.239,1237.085571,1279.067383,1405.33667,1477.136475,0.641281,0.739638,0.897793,0.951367
16,airline__fixed_k_2-3-8__seed0,fixed,2-3-8,0.950982,0.949952,0.950223,0.949283,99,1248,26,427.692,1237.085571,1289.304321,1372.813721,1399.134521,0.598614,0.862826,0.883229,0.950982
17,airline__fixed_k_2-3-5__seed0,fixed,2-3-5,0.950853,0.949822,0.9503,0.949354,99,1026,20,433.637,1237.085571,1322.769653,1355.615723,1417.368286,0.58899,0.729886,0.784229,0.950853
18,airline__fixed_k_2-3-7__seed0,fixed,2-3-7,0.950533,0.949498,0.949261,0.948312,99,1174,24,428.473,1237.085571,1270.836182,1354.789917,1382.589111,0.708777,0.8396,0.894072,0.950533
19,airline__fixed_k_2-2-2__seed0,fixed,2-2-2,0.95034,0.949298,0.949569,0.948617,99,730,12,434.649,1237.085571,1276.16748,1356.667969,1449.797607,0.43847,0.436353,0.650712,0.95034
20,airline__fixed_k_2-6-2__seed0,fixed,2-6-2,0.950212,0.949076,0.948298,0.947218,96,1026,20,243.501,1237.085449,1301.300659,1335.78833,1389.500244,0.628705,0.867317,0.912871,0.950212
21,airline__fixed_k_2-2-3__seed0,fixed,2-2-3,0.950019,0.949006,0.948722,0.947795,99,804,14,394.956,1237.085571,1268.955322,1338.01416,1440.766724,0.436802,0.449378,0.878096,0.950019
22,airline__fixed_k_2-5-5__seed0,fixed,2-5-5,0.950019,0.948979,0.947798,0.946841,99,1174,24,242.239,1237.085449,1265.857056,1327.716553,1412.682007,0.706532,0.709483,0.866675,0.950019
23,airline__fixed_k_2-2-5__seed0,fixed,2-2-5,0.949955,0.948915,0.94876,0.947813,99,952,18,431.789,1237.085571,1262.547852,1339.855835,1391.602295,0.626588,0.544912,0.794046,0.949955
24,airline__fixed_k_2-4-2__seed0,fixed,2-4-2,0.949827,0.948792,0.950223,0.949282,99,878,16,430.108,1237.085571,1317.101562,1342.943115,1446.541626,0.443796,0.675542,0.623059,0.949827
25,airline__fixed_k_2-5-3__seed0,fixed,2-5-3,0.949763,0.948721,0.9503,0.949355,99,1026,20,240.134,1237.085449,1257.514404,1351.395386,1398.136719,0.689465,0.672142,0.916207,0.949763
26,airline__fixed_k_2-5-2__seed0,fixed,2-5-2,0.949698,0.948647,0.948606,0.947647,99,952,18,244.986,1237.085449,1294.026367,1367.963257,1447.312988,0.534262,0.553574,0.880213,0.949698
27,airline__fixed_k_2-2-4__seed0,fixed,2-2-4,0.949506,0.948465,0.947567,0.946583,99,878,16,427.139,1237.085571,1264.195679,1327.305908,1419.070801,0.43892,0.450789,0.89189,0.949506
28,airline__fixed_k_2-3-4__seed0,fixed,2-3-4,0.949185,0.948131,0.947451,0.946483,99,952,18,424.431,1237.085571,1341.225952,1375.31311,1473.507324,0.482228,0.853009,0.884833,0.949185
29,airline__autok_L3_extra2__seed0,autok,auto,0.948544,0.94743,0.944333,0.943244,90,1026,20,443.907,1237.085571,1352.27771,1397.505615,1481.676025,0.489093,0.849737,0.883164,0.948544
30,airline__fixed_k_2-4-5__seed0,fixed,2-4-5,0.948479,0.947452,0.947528,0.946593,99,1100,22,437.759,1237.085571,1294.855225,1317.781372,1364.557861,0.686064,0.868023,0.875914,0.948479
31,airline__fixed_k_2-4-4__seed0,fixed,2-4-4,0.948351,0.947231,0.944256,0.943166,90,1026,20,438.853,1237.085571,1352.11853,1397.103882,1482.016357,0.488772,0.849544,0.882523,0.948351
32,airline__fixed_k_2-3-2__seed0,fixed,2-3-2,0.947902,0.946809,0.946951,0.945962,99,804,14,449.227,1237.085571,1275.550903,1310.774414,1397.456665,0.447517,0.520852,0.580842,0.947902
33,airline__fixed_k_2-3-3__seed0,fixed,2-3-3,0.947389,0.946255,0.944526,0.94346,90,878,16,431.532,1237.085571,1352.034668,1392.599121,1473.704102,0.487745,0.852496,0.881881,0.947389
34,airline__fixed_k_2-4-3__seed0,fixed,2-4-3,0.947004,0.945884,0.94518,0.944137,99,952,18,429.773,1237.085571,1344.39917,1381.329468,1455.716675,0.494097,0.851726,0.884576,0.947004
